keys,en,cs,sk,de,es,fi,fr,nb,pl,sv,pt_BR,pt_PT,it,da,nl,ja,ko,tr,vi,id
COSMETICS_MORE_LATER,Belly patterns hats glasses and shoes are coming next.,Vzory bříška klobouky brýle a boty přidáme příště.,Vzory bruška klobúky okuliare a topánky pridáme nabudúce.,Bauchmuster Mützen Brillen und Schuhe kommen als Nächstes.,Los patrones de barriga gorros gafas y zapatos llegarán pronto.,Mahakuviot hatut lasit ja kengät tulevat seuraavaksi.,Les motifs de ventre chapeaux lunettes et chaussures arrivent bientôt.,Magemønstre luer briller og sko kommer snart.,Wzory brzuszka czapki okulary i buty pojawią się wkrótce.,Magmönster mössor glasögon och skor kommer snart.,Estampas de barriga chapéus óculos e calçados vêm em seguida.,Padrões de barriga chapéus óculos e calçado chegarão em breve.,Presto arriveranno motivi per la pancia cappelli occhiali e scarpe.,Mavemønstre hatte briller og sko kommer senere.,Buikpatronen hoeden brillen en schoenen komen later.,おなかの模様や帽子やメガネや靴もこれから登場します。,배 무늬와 모자와 안경과 신발도 곧 추가됩니다.,Karın desenleri şapkalar gözlükler ve ayakkabılar daha sonra gelecek.,Họa tiết bụng mũ kính và giày sẽ sớm ra mắt.,Pola perut topi kacamata dan sepatu akan hadir nanti.
COSMETICS_TAP_BUY,Tap Buy to unlock.,Odemkni tlačítkem Koupit.,Odomkni tlačidlom Kúpiť.,Zum Freischalten auf Kaufen tippen.,Toca Comprar para desbloquear.,Napauta Osta ja avaa se.,Touche Acheter pour débloquer.,Trykk Kjøp for å låse opp.,Dotknij Kup aby odblokować.,Tryck på Köp för att låsa upp.,Toque em Comprar para desbloquear.,Toca em Comprar para desbloquear.,Tocca Compra per sbloccare.,Tryk på Køb for at låse op.,Tik op Kopen om te ontgrendelen.,「購入」をタップしてアンロック。,구매를 눌러 잠금 해제하세요.,Açmak için Satın Al'a dokun.,Chạm vào Mua để mở khóa.,Ketuk Beli untuk membuka.
COSMETICS_HATS,Hats,Čepice,Čiapky,Mützen,Gorros,Hatut,Chapeaux,Luer,Czapki,Mössor,Chapéus,Chapéus,Cappelli,Hatte,Hoeden,帽子,모자,Şapkalar,Mũ,Topi
COSMETICS_GLASSES,Glasses,Brýle,Okuliare,Brillen,Gafas,Lasit,Lunettes,Briller,Okulary,Glasögon,Óculos,Óculos,Occhiali,Briller,Brillen,メガネ,안경,Gözlükler,Kính,Kacamata
COSMETICS_NECKLACES,Necklaces,Náhrdelníky,Náhrdelníky,Ketten,Collares,Kaulakorut,Colliers,Halskjeder,Naszyjniki,Halsband,Colares,Colares,Collane,Halskæder,Kettingen,ネックレス,목걸이,Kolyeler,Vòng cổ,Kalung
COSMETICS_NONE,None,Bez doplňku,Bez doplnku,Ohne,Ninguno,Ei mitään,Aucun,Ingen,Brak,Ingen,Nenhum,Nenhum,Nessuno,Ingen,Geen,なし,없음,Yok,Không có,Tidak ada
COSMETICS_HAT_CROWN,Crown,Koruna,Koruna,Krone,Corona,Kruunu,Couronne,Krone,Korona,Krona,Coroa,Coroa,Corona,Krone,Kroon,王冠,왕관,Taç,Vương miện,Mahkota
COSMETICS_HAT_SANTA,Santa hat,Vánoční čepice,Vianočná čiapka,Weihnachtsmütze,Gorro de Papá Noel,Joulupukin lakki,Bonnet de Noël,Nisselue,Czapka Mikołaja,Tomteluva,Gorro de Papai Noel,Gorro de Pai Natal,Cappello di Babbo Natale,Julemandshue,Kerstmuts,サンタの帽子,산타 모자,Noel şapkası,Mũ ông già Noel,Topi Sinterklas
COSMETICS_HAT_WINTER,Winter hat,Zimní čepice,Zimná čiapka,Wintermütze,Gorro de invierno,Talvipipo,Bonnet d'hiver,Vinterlue,Zimowa czapka,Vintermössa,Gorro de inverno,Gorro de inverno,Cappello invernale,Vinterhue,Wintermuts,冬の帽子,겨울 모자,Kış şapkası,Mũ mùa đông,Topi musim dingin
COSMETICS_HAT_DUCK,Duck cap,Kachní čepice,Kačacia čiapka,Entenmütze,Gorro de pato,Ankkalakki,Casquette canard,Andelue,Kacza czapka,Ankmössa,Boné de pato,Boné de pato,Cappello da papera,Andekasket,Eendenpet,アヒルの帽子,오리 모자,Ördek şapkası,Mũ vịt,Topi bebek
COSMETICS_HAT_DINO,Dino hat,Dino čepice,Dino čiapka,Dino-Mütze,Gorro de dino,Dinolakki,Bonnet dino,Dinolue,Czapka dino,Dinomössa,Chapéu de dinossauro,Chapéu de dinossauro,Cappello da dinosauro,Dinosaurhat,Dinohoed,恐竜の帽子,공룡 모자,Dinozor şapkası,Mũ khủng long,Topi dinosaurus
COSMETICS_HAT_PIRATE,Pirate hat,Pirátský klobouk,Pirátsky klobúk,Piratenhut,Sombrero pirata,Merirosvohattu,Chapeau de pirate,Piratlue,Kapelusz pirata,Pirathatt,Chapéu de pirata,Chapéu de pirata,Cappello da pirata,Pirathat,Piratenhoed,海賊の帽子,해적 모자,Korsan şapkası,Mũ cướp biển,Topi bajak laut
COSMETICS_GLASSES_FASHION,Flower glasses,Květinové brýle,Kvetinové okuliare,Blumenbrille,Gafas de flores,Kukkalasit,Lunettes fleuries,Blomsterbriller,Kwiatowe okulary,Blomglasögon,Óculos de flores,Óculos de flores,Occhiali a fiore,Blomsterbriller,Bloemenbril,お花のメガネ,꽃 안경,Çiçekli gözlük,Kính hoa,Kacamata bunga
COSMETICS_GLASSES_GREEN,Green glasses,Zelené brýle,Zelené okuliare,Grüne Brille,Gafas verdes,Vihreät lasit,Lunettes vertes,Grønne briller,Zielone okulary,Gröna glasögon,Óculos verdes,Óculos verdes,Occhiali verdi,Grønne briller,Groene bril,緑のメガネ,초록 안경,Yeşil gözlük,Kính xanh lá,Kacamata hijau
COSMETICS_GLASSES_MOON,Moon glasses,Měsíční brýle,Mesačné okuliare,Mondbrille,Gafas de luna,Kuulasit,Lunettes lune,Månebriller,Księżycowe okulary,Månglasögon,Óculos de lua,Óculos de lua,Occhiali lunari,Månebriller,Maanbril,月のメガネ,달 안경,Ay gözlüğü,Kính mặt trăng,Kacamata bulan
HOME_NAME_EDIT_HINT,Tap to change your name,Klepnutím změníš jméno,Klepnutím zmeníš meno,Tippe um deinen Namen zu ändern,Toca para cambiar tu nombre,Napauta ja vaihda nimesi,Touche pour changer ton prénom,Trykk for å endre navn,Dotknij aby zmienić imię,Tryck för att byta namn,Toque para mudar seu nome,Toca para mudar o teu nome,Tocca per cambiare il tuo nome,Tryk for at ændre dit navn,Tik om je naam te wijzigen,タップして名前を変える,눌러서 이름 바꾸기,Adını değiştirmek için dokun,Chạm để đổi tên,Ketuk untuk mengganti namamu
NAME_DIALOG_TITLE,What's your name?,Jak se jmenuješ?,Ako sa voláš?,Wie heißt du?,¿Cómo te llamas?,Mikä sinun nimesi on?,Comment tu t'appelles ?,Hva heter du?,Jak masz na imię?,Vad heter du?,Qual é seu nome?,Como te chamas?,Come ti chiami?,Hvad hedder du?,Hoe heet je?,お名前は？,이름이 뭐예요?,Adın ne?,Bạn tên gì?,Siapa namamu?
NAME_DIALOG_PLACEHOLDER,Type your name,Napiš své jméno,Napíš svoje meno,Schreib deinen Namen,Escribe tu nombre,Kirjoita nimesi,Écris ton prénom,Skriv navnet ditt,Wpisz swoje imię,Skriv ditt namn,Digite seu nome,Escreve o teu nome,Scrivi il tuo nome,Skriv dit navn,Typ je naam,名前を入力,이름 입력,Adını yaz,Nhập tên của bạn,Ketik namamu
NAME_SAVE,Save,Uložit,Uložiť,Speichern,Guardar,Tallenna,Enregistrer,Lagre,Zapisz,Spara,Salvar,Guardar,Salva,Gem,Opslaan,保存,저장,Kaydet,Lưu,Simpan
NAME_CANCEL,Cancel,Zrušit,Zrušiť,Abbrechen,Cancelar,Peruuta,Annuler,Avbryt,Anuluj,Avbryt,Cancelar,Cancelar,Annulla,Annuller,Annuleren,キャンセル,취소,İptal,Hủy,Batal
COSMETICS_GLASSES_PIRATE,Pirate eye patch,Pirátská páska,Pirátska páska,Piraten-Augenklappe,Parche pirata,Merirosvolappu,Cache-œil de pirate,Piratlapp,Piracka opaska,Piratlapp,Tapa-olho de pirata,Pala de pirata,Benda da pirata,Piratklap,Piratenooglap,海賊の眼帯,해적 안대,Korsan göz bandı,Bịt mắt cướp biển,Penutup mata bajak laut
COSMETICS_NECKLACE_CROWN,Crown necklace,Náhrdelník s korunou,Náhrdelník s korunou,Kronen-Kette,Collar de corona,Kruunukaulakoru,Collier couronne,Kronehalskjede,Naszyjnik z koroną,Kronhalsband,Colar de coroa,Colar de coroa,Collana con corona,Kronehalskæde,Kroonketting,王冠のネックレス,왕관 목걸이,Taç kolye,Vòng cổ vương miện,Kalung mahkota
COSMETICS_NECKLACE_DUCK,Duck necklace,Kachní náhrdelník,Kačací náhrdelník,Enten-Kette,Collar de pato,Ankkakaulakoru,Collier canard,Andehalskjede,Kaczy naszyjnik,Ankhalsband,Colar de pato,Colar de pato,Collana con papera,Andehalskæde,Eendenketting,アヒルのネックレス,오리 목걸이,Ördek kolye,Vòng cổ vịt,Kalung bebek
COSMETICS_NECKLACE_MOON,Moon necklace,Měsíční náhrdelník,Mesačný náhrdelník,Mond-Kette,Collar de luna,Kuukaulakoru,Collier lune,Månehalskjede,Księżycowy naszyjnik,Månhalsband,Colar de lua,Colar de lua,Collana con luna,Månehalskæde,Maanketting,月のネックレス,달 목걸이,Ay kolyesi,Vòng cổ mặt trăng,Kalung bulan
COSMETICS_GLASSES_STAR,Star glasses,Hvězdné brýle,Hviezdne okuliare,Sternenbrille,Gafas de estrella,Tähtilasit,Lunettes étoile,Stjernebriller,Gwiezdne okulary,Stjärnglasögon,Óculos de estrela,Óculos de estrela,Occhiali a stella,Stjernebriller,Sterrenbril,星のメガネ,별 안경,Yıldızlı gözlük,Kính ngôi sao,Kacamata bintang
COSMETICS_NECKLACE_BOW_TIE,Bow tie,Motýlek,Motýlik,Fliege,Pajarita,Rusetti,Nœud papillon,Sløyfe,Muszka,Fluga,Gravata-borboleta,Laço,Papillon,Butterfly,Vlinderdas,蝶ネクタイ,나비넥타이,Papyon,Nơ cổ,Dasi kupu-kupu
COSMETICS_NECKLACE_SCARF,Scarf,Šála,Šál,Schal,Bufanda,Kaulahuivi,Écharpe,Skjerf,Szalik,Halsduk,Cachecol,Cachecol,Sciarpa,Halstørklæde,Sjaal,マフラー,목도리,Atkı,Khăn quàng,Syal
COSMETICS_TAB_COLOR,Color,Barva,Farba,Farbe,Color,Väri,Couleur,Farge,Kolor,Färg,Cor,Cor,Colore,Farve,Kleur,色,색상,Renk,Màu sắc,Warna
COSMETICS_TAB_HATS,Hats,Čepice,Čiapky,Mützen,Gorros,Hatut,Chapeaux,Luer,Czapki,Mössor,Chapéus,Chapéus,Cappelli,Hatte,Hoeden,帽子,모자,Şapkalar,Mũ,Topi
COSMETICS_TAB_GLASSES,Glasses,Brýle,Okuliare,Brillen,Gafas,Lasit,Lunettes,Briller,Okulary,Glasögon,Óculos,Óculos,Occhiali,Briller,Brillen,メガネ,안경,Gözlükler,Kính,Kacamata
COSMETICS_TAB_NECKLACES,Necklaces,Řetízky,Retiazky,Ketten,Collares,Kaulakorut,Colliers,Halskjeder,Naszyjniki,Halsband,Colares,Colares,Collane,Halskæder,Kettingen,ネックレス,목걸이,Kolyeler,Vòng cổ,Kalung
COSMETICS_TAB_FOOTWEAR,Shoes,Boty,Topánky,Schuhe,Zapatos,Kengät,Chaussures,Sko,Buty,Skor,Calçados,Calçado,Scarpe,Sko,Schoenen,靴,신발,Ayakkabılar,Giày,Sepatu
COSMETICS_FOOTWEAR_SNEAKERS,Sneakers,Tenisky,Tenisky,Turnschuhe,Zapatillas,Lenkkarit,Baskets,Joggesko,Trampki,Sneakers,Tênis,Sapatilhas,Scarpe da ginnastica,Kondisko,Sportschoenen,スニーカー,운동화,Spor ayakkabı,Giày thể thao,Sepatu kets
COSMETICS_FOOTWEAR_ROLLER,Roller skates,Kolečkové brusle,Kolieskové korčule,Rollschuhe,Patines,Rullaluistimet,Patins à roulettes,Rulleskøyter,Wrotki,Rullskridskor,Patins,Patins,Pattini a rotelle,Rulleskøjter,Rolschaatsen,ローラースケート,롤러스케이트,Paten,Giày trượt patin,Sepatu roda
COSMETICS_FOOTWEAR_RABBIT,Bunny slippers,Zaječí bačkory,Zajačie papuče,Hasenpantoffeln,Zapatillas de conejo,Jänistossut,Chaussons lapin,Kanintøfler,Kapcie królika,Kanintofflor,Pantufas de coelho,Pantufas de coelho,Pantofole da coniglio,Kanintøfler,Konijnensloffen,ウサギのスリッパ,토끼 슬리퍼,Tavşan terliği,Dép thỏ,Sandal kelinci
COSMETICS_FOOTWEAR_DUCK,Duck boots,Kachní holínky,Kačacie čižmy,Entenstiefel,Botas de pato,Ankkasaappaat,Bottes canard,Andestøvler,Kacze kalosze,Ankstövlar,Botas de pato,Botas de pato,Stivali da papera,Andestøvler,Eendenlaarzen,アヒルのブーツ,오리 장화,Ördek çizmesi,Ủng vịt,Sepatu bot bebek
COSMETICS_FOOTWEAR_STAR,Star boots,Hvězdné boty,Hviezdne topánky,Sternenstiefel,Botas de estrella,Tähtisaappaat,Bottes étoile,Stjernestøvler,Gwiezdne buty,Stjärnstövlar,Botas de estrela,Botas de estrela,Stivali a stella,Stjernestøvler,Sterrenlaarzen,星のブーツ,별 부츠,Yıldızlı çizme,Ủng ngôi sao,Sepatu bot bintang
COSMETICS_WEAR,Wear,Nasadit,Nasadiť,Anziehen,Poner,Pue,Porter,Ta på,Załóż,Ta på,Usar,Usar,Indossa,Tag på,Gebruiken,つける,착용,Giy,Mang,Pakai
COSMETICS_WORN,Worn,Nasazeno,Nasadené,Angezogen,Puesto,Puettu,Porté,På,Założone,Påsatt,Em uso,Em uso,Indossato,På,In gebruik,使用中,착용 중,Giyildi,Đang mang,Dipakai
COSMETICS_WEAR_COLOR,Use color,Použít barvu,Použiť farbu,Farbe nutzen,Usar color,Käytä väriä,Utiliser la couleur,Bruk fargen,Użyj koloru,Använd färgen,Usar cor,Usar cor,Usa colore,Brug farve,Kleur gebruiken,この色を使う,색상 사용,Rengi kullan,Dùng màu,Gunakan warna
COSMETICS_WORN_COLOR,In use,Používáš,Používaš,In Gebrauch,En uso,Käytössä,Utilisée,I bruk,Używasz,Används,Em uso,Em uso,In uso,I brug,In gebruik,使用中,사용 중,Kullanımda,Đang dùng,Digunakan
COSMETICS_TRY_HINT,Tap an item to try it on.,Klepni na věc a Numblop si ji zkusí.,Klepni na vec a Numblop si ju vyskúša.,Tippe etwas an und Numblop probiert es an.,Toca una cosa y Numblop se la prueba.,Napauta tavaraa niin Numblop sovittaa sen.,Touche un objet et Numblop l'essaie.,Trykk på en ting så prøver Numblop den.,Dotknij rzeczy a Numblop ją przymierzy.,Tryck på en sak så provar Numblop den.,Toque em um item para experimentar.,Toca num item para o experimentar.,Tocca un oggetto per provarlo.,Tryk på en ting for at prøve den.,Tik op een voorwerp om het te passen.,アイテムをタップして試してみよう。,아이템을 눌러 착용해 보세요.,Denemek için bir öğeye dokun.,Chạm vào một món đồ để thử.,Ketuk item untuk mencobanya.
NAV_MAP,Map,Mapa,Mapa,Karte,Mapa,Kartta,Carte,Kart,Mapa,Karta,Mapa,Mapa,Mappa,Kort,Kaart,マップ,지도,Harita,Bản đồ,Peta
NAV_TROPHY,Trophies,Poháry,Poháre,Pokale,Trofeos,Palkinnot,Trophées,Pokaler,Puchary,Pokaler,Troféus,Troféus,Trofei,Trofæer,Trofeeën,トロフィー,트로피,Kupalar,Cúp,Trofi
HOME_FEATURE_LATER,Coming in a later update!,Připravujeme do další aktualizace!,Pripravujeme do ďalšej aktualizácie!,Kommt in einem späteren Update!,¡Llegará en una próxima actualización!,Tulossa myöhemmässä päivityksessä!,Arrive dans une prochaine mise à jour !,Kommer i en senere oppdatering!,Pojawi się w kolejnej aktualizacji!,Kommer i en senare uppdatering!,Em uma próxima atualização!,Numa atualização futura!,In un prossimo aggiornamento!,Kommer i en senere opdatering!,Komt in een latere update!,今後のアップデートで登場！,추후 업데이트에 추가됩니다!,Daha sonraki bir güncellemede gelecek!,Sẽ có trong bản cập nhật sau!,Akan hadir di pembaruan berikutnya!
MAP_TITLE,Map,Mapa,Mapa,Karte,Mapa,Kartta,Carte,Kart,Mapa,Karta,Mapa,Mapa,Mappa,Kort,Kaart,マップ,지도,Harita,Bản đồ,Peta
MAP_SUBTITLE,Follow the multiplication trail!,Postupuj násobilkami!,Postupuj násobilkami!,Folge dem Einmaleins-Pfad!,¡Sigue el camino de las tablas!,Seuraa kertotaulupolkua!,Suis le chemin des tables !,Følg gangetabellstien!,Podążaj szlakiem tabliczki mnożenia!,Följ multiplikationsstigen!,Siga a trilha da multiplicação!,Segue o trilho da multiplicação!,Segui il sentiero delle moltiplicazioni!,Følg multiplikationsstien!,Volg het vermenigvuldigpad!,かけ算の道を進もう！,곱셈 길을 따라가 보세요!,Çarpma yolunu takip et!,Đi theo con đường phép nhân!,Ikuti jalur perkalian!
MAP_HINT,Swipe to explore every stage.,Tažením prozkoumej všechny etapy.,Potiahnutím preskúmaj všetky etapy.,Wische um alle Etappen zu sehen.,Desliza para ver todas las etapas.,Pyyhkäise ja tutki kaikki etapit.,Fais glisser pour voir toutes les étapes.,Dra for å utforske alle etappene.,Przesuń aby zobaczyć wszystkie etapy.,Dra för att utforska alla etapper.,Deslize para explorar todas as etapas.,Desliza para explorar todas as etapas.,Scorri per esplorare ogni tappa.,Stryg for at udforske alle baner.,Veeg om elke etappe te verkennen.,スワイプしてすべてのステージを見てみよう。,밀어서 모든 단계를 둘러보세요.,Tüm aşamaları keşfetmek için kaydır.,Vuốt để khám phá mọi chặng.,Geser untuk menjelajahi setiap tahap.
MAP_BACK_ACCESSIBLE,Return home,Zpět domů,Späť domov,Zurück zum Start,Volver al inicio,Takaisin kotiin,Retour à l'accueil,Tilbake til start,Powrót do domu,Tillbaka hem,Voltar para o início,Voltar ao início,Torna alla home,Tilbage til startsiden,Terug naar start,ホームに戻る,홈으로 돌아가기,Ana sayfaya dön,Về trang chủ,Kembali ke beranda
MAP_TABLE,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×,{table}×
MAP_STAGE_CURRENT,Learning now,Právě se učíš,Práve sa učíš,Gerade dran,Aprendiendo ahora,Opit juuri nyt,En cours,Lærer nå,Właśnie się uczysz,Lär dig nu,Aprendendo agora,A aprender agora,In apprendimento,Lærer nu,Nu aan het leren,学習中,학습 중,Şimdi öğreniliyor,Đang học,Sedang dipelajari
MAP_STAGE_COMPLETE,Trail cleared,Cesta splněna,Cesta splnená,Pfad geschafft,Camino completado,Polku suoritettu,Chemin terminé,Sti fullført,Szlak ukończony,Stigen klarad,Trilha concluída,Trilho concluído,Sentiero completato,Sti gennemført,Pad voltooid,クリア済み,길 완료,Yol tamamlandı,Đã hoàn thành đường đi,Jalur selesai
MAP_STAGE_LOCKED,Locked,Zamčeno,Zamknuté,Gesperrt,Bloqueado,Lukittu,Verrouillé,Låst,Zablokowane,Låst,Bloqueado,Bloqueado,Bloccato,Låst,Vergrendeld,ロック中,잠김,Kilitli,Đã khóa,Terkunci
MAP_STAGE_PROGRESS,Progress {percent}%,Pokrok {percent} %,Pokrok {percent} %,Fortschritt {percent} %,Progreso {percent} %,Edistyminen {percent} %,Progression {percent} %,Fremgang {percent} %,Postęp {percent} %,Framsteg {percent} %,Progresso {percent}%,Progresso {percent}%,Progresso {percent}%,Fremskridt {percent}%,Voortgang {percent}%,進み具合{percent}%,진행도 {percent}%,İlerleme %{percent},Tiến trình {percent}%,Progres {percent}%
MAP_STAGE_UNLOCKED,The {table}× island is unlocked!,Ostrov {table}× je odemčený!,Ostrov {table}× je odomknutý!,Die Insel {table}× ist frei!,¡La isla {table}× está desbloqueada!,Saari {table}× on avattu!,L'île {table}× est débloquée !,Øya {table}× er låst opp!,Wyspa {table}× jest odblokowana!,Ön {table}× är upplåst!,A ilha do {table}× foi desbloqueada!,A ilha do {table}× foi desbloqueada!,L'isola del {table}× è stata sbloccata!,{table}×-øen er låst op!,Het {table}×-eiland is ontgrendeld!,{table}×の島をアンロックしました！,{table}× 섬이 열렸어요!,{table}× adasının kilidi açıldı!,Đảo {table}× đã được mở khóa!,Pulau {table}× terbuka!
MAP_STAGE_OPEN_DETAIL,View {table}× mastery,Zobrazit upevnění {table}×,Zobraziť upevnenie {table}×,Fortschritt {table}× ansehen,Ver el dominio de {table}×,Näytä {table}× hallinta,Voir la maîtrise {table}×,Se mestring {table}×,Pokaż opanowanie {table}×,Visa behärskning {table}×,Ver domínio do {table}×,Ver domínio do {table}×,Vedi la maestria del {table}×,Se mestring af {table}×,Bekijk beheersing van {table}×,{table}×の習熟度を見る,{table}× 숙련도 보기,{table}× ustalığını gör,Xem mức thành thạo bảng {table}×,Lihat penguasaan {table}×
MAP_FACT_DETAIL_TITLE,{table}× facts,Spoje {table}×,Spoje {table}×,Aufgaben {table}×,Cálculos {table}×,Laskut {table}×,Calculs {table}×,Oppgaver {table}×,Działania {table}×,Tal {table}×,Contas do {table}×,Contas do {table}×,Operazioni del {table}×,{table}×-opgaver,{table}×-sommen,{table}×の計算,{table}× 문제,{table}× işlemleri,Các phép tính {table}×,Soal {table}×
MAP_FACT_DETAIL_OVERALL,Island progress {percent}%,Pokrok ostrova {percent} %,Pokrok ostrova {percent} %,Inselfortschritt {percent} %,Progreso de la isla {percent} %,Saaren edistyminen {percent} %,Progression de l'île {percent} %,Øyfremgang {percent} %,Postęp wyspy {percent} %,Öns framsteg {percent} %,Progresso da ilha {percent}%,Progresso da ilha {percent}%,Progresso dell'isola {percent}%,Fremskridt på øen {percent}%,Voortgang eiland {percent}%,島の進み具合{percent}%,섬 진행도 {percent}%,Ada ilerlemesi %{percent},Tiến trình đảo {percent}%,Progres pulau {percent}%
MAP_FACT_DETAIL_CLOSE,Close fact detail,Zavřít detail spojů,Zavrieť detail spojov,Aufgabendetails schließen,Cerrar el detalle,Sulje laskujen tiedot,Fermer le détail,Lukk detaljene,Zamknij szczegóły,Stäng detaljerna,Fechar detalhes das contas,Fechar detalhes das contas,Chiudi i dettagli delle operazioni,Luk opgavedetaljer,Somdetails sluiten,計算の詳細を閉じる,문제 상세 닫기,İşlem ayrıntılarını kapat,Đóng chi tiết phép tính,Tutup detail soal
MAP_FACT_DETAIL_PRACTICE,Practice,Procvičovat,Precvičovať,Üben,Practicar,Harjoittele,S'entraîner,Øv,Ćwicz,Öva,Praticar,Praticar,Allenamento,Øv,Oefenen,練習,연습,Alıştırma,Luyện tập,Latihan
MAP_FACT_PERCENT,{percent}%,{percent} %,{percent} %,{percent} %,{percent} %,{percent} %,{percent} %,{percent} %,{percent} %,{percent} %,{percent}%,{percent}%,{percent}%,{percent}%,{percent}%,{percent}%,{percent}%,%{percent},{percent}%,{percent}%
MAP_FACT_BUILDING,Building up,Objevuji,Objavujem,Ich entdecke,Descubriendo,Tutustun,Je découvre,Jeg oppdager,Odkrywam,Jag upptäcker,Aprendendo,A aprender,Sto imparando,På vej,Aan het opbouwen,学びはじめ,배우는 중,Öğreniyorum,Đang xây nền,Mulai belajar
MAP_FACT_PRACTICING,Practicing,Procvičuji,Precvičujem,Ich übe,Practicando,Harjoittelen,Je m'entraîne,Jeg øver,Ćwiczę,Jag övar,Praticando,A praticar,Mi alleno,Øver,Aan het oefenen,練習中,연습 중,Alıştırıyorum,Đang luyện tập,Berlatih
MAP_FACT_MASTERED,Mastered,Upevňuji,Upevňujem,Ich festige,Afianzando,Vahvistan,Je consolide,Jeg fester det,Utrwalam,Jag befäster,Dominado,Dominado,Imparato,Mestret,Beheerst,マスター,익힘,Ustalaştım,Đã thành thạo,Dikuasai
MAP_FACT_AUTOMATED,Automatic,Mám jistotu,Mám istotu,Ich kann es sicher,Lo tengo seguro,Osaan varmasti,Je maîtrise,Jeg kan det,Mam pewność,Jag kan det säkert,Automático,Automático,Automatico,Automatisk,Automatisch,自動化,자동화됨,Otomatik,Tự động,Otomatis
NAV_SETTINGS,Settings,Nastavení,Nastavenia,Einstellungen,Ajustes,Asetukset,Réglages,Innstillinger,Ustawienia,Inställningar,Configurações,Definições,Impostazioni,Indstillinger,Instellingen,設定,설정,Ayarlar,Cài đặt,Pengaturan
NAV_HOME,Home,Domů,Domov,Start,Inicio,Koti,Accueil,Hjem,Dom,Hem,Início,Início,Home,Hjem,Start,ホーム,홈,Ana Sayfa,Trang chủ,Beranda
SETTINGS_TITLE,Settings,Nastavení,Nastavenia,Einstellungen,Ajustes,Asetukset,Réglages,Innstillinger,Ustawienia,Inställningar,Configurações,Definições,Impostazioni,Indstillinger,Instellingen,設定,설정,Ayarlar,Cài đặt,Pengaturan
SETTINGS_VERSION,Version {version},Verze {version},Verzia {version},Version {version},Versión {version},Versio {version},Version {version},Versjon {version},Wersja {version},Version {version},Versão {version},Versão {version},Versione {version},Version {version},Versie {version},バージョン{version},버전 {version},Sürüm {version},Phiên bản {version},Versi {version}
SETTINGS_LANGUAGE,Language,Jazyk,Jazyk,Sprache,Idioma,Kieli,Langue,Språk,Język,Språk,Idioma,Idioma,Lingua,Sprog,Taal,言語,언어,Dil,Ngôn ngữ,Bahasa
SETTINGS_MUSIC,Background music,Hudba na pozadí,Hudba na pozadí,Hintergrundmusik,Música de fondo,Taustamusiikki,Musique de fond,Bakgrunnsmusikk,Muzyka w tle,Bakgrundsmusik,Música de fundo,Música de fundo,Musica di sottofondo,Baggrundsmusik,Achtergrondmuziek,BGM,배경 음악,Arka plan müziği,Nhạc nền,Musik latar
SETTINGS_SFX,Sound effects,Zvukové efekty,Zvukové efekty,Soundeffekte,Efectos de sonido,Äänitehosteet,Effets sonores,Lydeffekter,Efekty dźwiękowe,Ljudeffekter,Efeitos sonoros,Efeitos sonoros,Effetti sonori,Lydeffekter,Geluidseffecten,効果音,효과음,Ses efektleri,Hiệu ứng âm thanh,Efek suara
SETTINGS_SOUND,Sound,Zvuk,Zvuk,Ton,Sonido,Ääni,Son,Lyd,Dźwięk,Ljud,Som,Som,Audio,Lyd,Geluid,サウンド,소리,Ses,Âm thanh,Suara
SETTINGS_SOUND_ON_ACCESSIBLE,Sound is on,Zvuk je zapnutý,Zvuk je zapnutý,Ton ist an,El sonido está activado,Ääni on päällä,Le son est activé,Lyden er på,Dźwięk jest włączony,Ljudet är på,O som está ligado,O som está ligado,L'audio è attivo,Lyden er slået til,Geluid staat aan,サウンドはオンです,소리가 켜져 있습니다,Ses açık,Âm thanh đang bật,Suara aktif
SETTINGS_SOUND_OFF_ACCESSIBLE,Sound is off,Zvuk je vypnutý,Zvuk je vypnutý,Ton ist aus,El sonido está desactivado,Ääni on pois päältä,Le son est désactivé,Lyden er av,Dźwięk jest wyłączony,Ljudet är av,O som está desligado,O som está desligado,L'audio è disattivato,Lyden er slået fra,Geluid staat uit,サウンドはオフです,소리가 꺼져 있습니다,Ses kapalı,Âm thanh đang tắt,Suara nonaktif
SETTINGS_HAPTICS,Vibration,Vibrace,Vibrácie,Vibration,Vibración,Värinä,Vibration,Vibrasjon,Wibracje,Vibration,Vibração,Vibração,Vibrazione,Vibration,Trillen,振動,진동,Titreşim,Rung,Getaran
SETTINGS_HAPTICS_ON_ACCESSIBLE,Vibration is on,Vibrace jsou zapnuté,Vibrácie sú zapnuté,Vibration ist an,La vibración está activada,Värinä on päällä,La vibration est activée,Vibrasjonen er på,Wibracje są włączone,Vibrationen är på,A vibração está ligada,A vibração está ligada,La vibrazione è attiva,Vibration er slået til,Trillen staat aan,振動はオンです,진동이 켜져 있습니다,Titreşim açık,Chế độ rung đang bật,Getaran aktif
